Building:,Halley Rise,
Subnet:,10.110.70.x,
Camera Number,MAC,
2,ec:71:db:68:e0:9e,
3,ec:71:db:04:22:c1,
4,ec:71:db:7d:e4:d4,
5,ec:71:db:2a:fb:ab,
6,ec:71:db:97:ef:b6,
7,ec:71:db:64:69:6a,
8,ec:71:db:23:61:21,
9,ec:71:db:d7:07:ce,
10,ec:71:db:e2:92:31,
11,ec:71:db:0d:87:75,
12,ec:71:db:3f:a3:19,
13,ec:71:db:01:f2:6d,
14,ec:71:db:9a:93:24,
15,ec:71:db:79:8e:3b,
16,ec:71:db:7d:df:1d,
17,ec:71:db:85:e0:d3,
18,ec:71:db:27:81:01,
19,ec:71:db:3a:f4:ea,
20,ec:71:db:f8:79:5c,
21,ec:71:db:b8:95:7f,
22,ec:71:db:01:fb:5f,
23,ec:71:db:0e:1e:94,
24,ec:71:db:5a:52:b1,
25,ec:71:db:85:e2:1a,
26,ec:71:db:ed:59:29,
27,ec:71:db:68:ef:7d,
28,ec:71:db:e8:68:a1,
29,ec:71:db:83:cd:9a,
30,ec:71:db:b3:60:03,
31,ec:71:db:d1:1d:8d,
32,ec:71:db:b6:8c:51,
33,ec:71:db:b0:57:7d,
34,ec:71:db:53:ac:45,
35,ec:71:db:ce:af:7d,
36,ec:71:db:9a:2c:f4,
37,ec:71:db:69:d3:89,
38,ec:71:db:e0:68:59,
39,ec:71:db:45:1d:de,
40,ec:71:db:43:56:eb,
41,ec:71:db:2b:e5:8f,
42,ec:71:db:fb:0f:10,
43,ec:71:db:6d:e8:af,
44,ec:71:db:a1:c2:6f,
45,ec:71:db:e4:d6:dc,
46,ec:71:db:cf:da:21,
47,ec:71:db:23:f2:d7,
48,ec:71:db:69:53:d7,
49,ec:71:db:2b:e1:77,
50,ec:71:db:63:33:71,
51,ec:71:db:23:66:3b,
52,ec:71:db:68:ae:d5,
53,ec:71:db:8b:5f:85,
54,ec:71:db:9d:3d:a1,
55,ec:71:db:f3:84:c8,
56,ec:71:db:a7:0f:b2,
57,ec:71:db:84:0d:5c,
58,ec:71:db:10:4f:18,
59,ec:71:db:c0:d6:d4,
60,ec:71:db:fa:bf:db,
61,ec:71:db:19:47:59,
62,ec:71:db:b9:0d:cb,
63,ec:71:db:ac:ce:8f,
64,ec:71:db:ff:38:1f,
65,ec:71:db:69:c2:80,
66,ec:71:db:2b:eb:58,
67,ec:71:db:67:ee:2c,
68,ec:71:db:2f:12:e4,
69,ec:71:db:0b:fb:14,
70,ec:71:db:ef:2a:f2,
71,ec:71:db:9a:61:4c,
72,ec:71:db:2e:61:5b,
73,ec:71:db:75:2c:9e,
74,ec:71:db:2b:47:c4,
75,ec:71:db:d0:bd:31,
76,ec:71:db:3c:ba:c8,
77,ec:71:db:41:bd:61,
78,ec:71:db:d0:10:bd,
79,ec:71:db:5e:cc:1a,
80,ec:71:db:91:90:ac,
81,ec:71:db:81:e5:88,
82,ec:71:db:a9:d0:6e,
83,ec:71:db:ed:6b:1d,
84,ec:71:db:1f:73:00,
85,ec:71:db:e8:d8:2d,
86,ec:71:db:f0:78:c6,
87,ec:71:db:5b:b0:e3,
88,ec:71:db:3c:f1:75,
89,ec:71:db:ec:7d:fa,
90,ec:71:db:17:f1:88,
91,ec:71:db:68:d1:47,
92,ec:71:db:d4:e2:a6,
93,ec:71:db:3b:0b:22,
94,ec:71:db:c1:49:a8,
95,ec:71:db:c8:14:42,
96,ec:71:db:48:54:3c,
97,ec:71:db:bf:b4:71,
98,ec:71:db:f1:6f:fb,
99,ec:71:db:ae:bb:af,
100,ec:71:db:1f:65:70,
101,ec:71:db:3b:62:52,
102,ec:71:db:75:83:ab,
103,ec:71:db:0c:7a:64,
104,ec:71:db:2f:b8:f9,
105,ec:71:db:d5:80:13,
106,ec:71:db:ef:a1:28,
107,ec:71:db:0b:34:f1,
108,ec:71:db:72:5b:6d,
109,ec:71:db:a7:bb:c9,
110,ec:71:db:af:5c:df,
111,ec:71:db:8c:37:bb,
112,ec:71:db:7d:fc:c0,
113,ec:71:db:cb:2d:01,
114,ec:71:db:89:19:76,
115,ec:71:db:db:25:ec,
116,ec:71:db:28:64:7a,
117,ec:71:db:2c:f4:6a,
118,ec:71:db:05:7a:76,
119,ec:71:db:e5:86:14,
120,ec:71:db:79:fe:1f,
121,ec:71:db:be:68:ec,
122,ec:71:db:61:70:62,
123,ec:71:db:37:88:9b,
124,ec:71:db:a4:56:86,?
125,ec:71:db:05:f8:bf,
126,ec:71:db:df:28:61,
127,ec:71:db:77:5d:c6,
128,ec:71:db:b9:e9:1b,
129,ec:71:db:1d:53:09,
130,ec:71:db:e8:81:20,
131,ec:71:db:52:d1:a9,
132,ec:71:db:5e:15:1a,
133,ec:71:db:2c:a8:13,
134,ec:71:db:a1:52:af,
135,ec:71:db:48:d1:17,
136,ec:71:db:52:f1:e7,
137,ec:71:db:8b:b7:9b,
138,ec:71:db:6a:92:da,
139,ec:71:db:2c:6a:42,
140,ec:71:db:d7:8c:c6,
141,ec:71:db:c2:e0:e5,
142,ec:71:db:65:c1:74,
143,ec:71:db:a1:92:0d,
144,ec:71:db:d1:fa:6d,
145,ec:71:db:48:6c:6a,
146,ec:71:db:78:7b:dc,
147,ec:71:db:f2:27:49,
148,ec:71:db:60:dc:fb,
149,ec:71:db:e0:66:6a,
150,ec:71:db:16:8e:77,
